Ticker,Nombre,Sector,Precio_Actual,Dif_%_vs_Max,PE_Actual,PEG_Ratio,Margen_Op_%,Crec_EPS_%,Crec_Ventas_%,Target_WallSt,Upside_B5_%
BLK,"BlackRock, Inc.",Financial Services,1122.29,-6.52,17.45,0.94,35.08,19.6,30.6,1320.81,17.69
GS,"Goldman Sachs Group, Inc. (The)",Financial Services,1038.61,-9.56,14.03,1.28,42.18,92.3,42.5,1141.65,9.92
XOM,ExxonMobil Holdings Corporation,Energy,159.47,-8.4,14.79,1.37,15.86,112.8,44.1,170.91,7.17
CVX,Chevron Corporation,Energy,208.6,-2.16,15.53,0.92,21.87,321.9,53.5,221.21,6.04
CAT,"Caterpillar, Inc.",Industrials,813.94,-24.04,25.14,1.42,22.18,68.2,24.0,975.61,19.86
DE,Deere & Company,Industrials,693.53,-1.75,30.57,1.61,17.48,-8.5,-11.1,685.19,-1.2
FIX,"Comfort Systems USA, Inc.",Industrials,1610.34,-22.28,26.76,0.54,7.89,38.8,1.0,2197.0,36.43
ETN,"Eaton Corporation, PLC",Industrials,410.85,-14.05,25.47,2.5,16.56,-15.9,21.4,475.57,15.75
HON,Honeywell International Inc.,Industrials,209.61,-18.78,21.06,3.38,20.25,263.9,4.3,263.41,25.67
WM,"Waste Management, Inc.",Industrials,218.99,-11.39,24.01,2.0,18.99,8.3,4.0,259.92,18.69
SMCI,"Super Micro Computer, Inc.",Technology,39.59,-32.65,7.43,0.91,13.38,434.7,93.2,42.38,7.03
ALAB,"Astera Labs, Inc.",Technology,310.4,-37.85,48.55,,22.74,186.2,104.5,389.95,25.63
CORT,Corcept Therapeutics Incorporat,Healthcare,111.62,-11.68,25.35,0.81,16.12,24.1,31.7,141.0,26.32
ONTO,Onto Innovation Inc.,Technology,268.01,-30.65,23.0,0.76,22.97,75.4,35.3,388.45,44.94
AX,"Axos Financial, Inc.",Financial Services,97.95,-7.37,9.07,0.95,45.03,12.4,18.1,119.14,21.64
VIV,Telefonica Brasil S.A.,Communication Services,11.66,-28.77,11.05,0.81,17.64,18.5,7.6,15.11,29.61
GHM,Graham Corporation,Industrials,87.78,-30.23,38.75,2.53,6.63,-21.4,28.6,130.75,48.95
SLAB,"Silicon Laboratories, Inc.",Technology,220.58,-0.86,50.58,3.12,-4.67,0.0,18.3,222.86,1.03
LSCC,Lattice Semiconductor Corporati,Technology,115.9,-26.18,36.07,0.59,13.33,600.0,62.2,164.54,41.97
LASR,"nLIGHT, Inc.",Technology,40.06,-53.93,63.59,1.78,-4.32,0.0,33.8,88.86,121.81
