Ticker,Nombre,Sector,Precio_Actual,Dif_%_vs_Max,PE_Actual,PEG_Ratio,Margen_Op_%,Crec_EPS_%,Crec_Ventas_%,Target_WallSt,Upside_B5_%
IONQ,"IonQ, Inc.",Technology,39.52,-53.31,-32.53,,-408.17,0.0,286.8,67.68,71.24
RGTI,"Rigetti Computing, Inc.",Technology,15.2,-73.86,-73.79,,-546.17,0.0,185.3,28.81,89.56
COIN,"Coinbase Global, Inc.",Financial Services,184.64,-54.09,67.44,0.82,-13.92,0.0,-17.3,198.97,7.76
SPOT,Spotify Technology S.A.,Communication Services,542.43,-27.19,30.11,1.53,13.71,0.0,13.9,614.23,13.24
DDOG,"Datadog, Inc.",Technology,212.93,-27.26,71.73,1.08,0.67,1498.5,35.6,285.18,33.93
RXRX,"Recursion Pharmaceuticals, Inc.",Healthcare,3.63,-49.44,-4.06,,-1759.69,0.0,-60.1,7.22,98.81
POET,POET Technologies Inc.,Technology,7.92,-61.94,-46.59,,-3542.65,0.0,112.3,14.75,86.24
RBLX,Roblox Corporation,Communication Services,43.31,-69.5,-35.84,8.18,-13.27,0.0,35.9,48.32,11.58
CRCL,"Circle Internet Group, Inc.",Financial Services,102.05,-36.01,64.14,4.34,4.9,0.0,6.6,103.55,1.47
BMNR,"BitMine Immersion Technologies,",Financial Services,24.97,-61.92,26.56,,8.42,0.0,2167.8,33.53,34.29
ACHR,Archer Aviation Inc.,Industrials,5.71,-60.94,-7.07,,-5514.0,0.0,0.0,10.61,85.83
BEAM,Beam Therapeutics Inc.,Healthcare,29.66,-22.48,-6.26,,-25827.14,0.0,-94.2,52.15,75.84
MOH,Molina Healthcare Inc,Healthcare,200.8,-18.0,20.62,0.93,1.4,-75.3,-5.7,209.12,4.14
ENB,Enbridge Inc,Energy,50.09,-13.12,21.71,5.75,10.16,-36.0,97.1,53.2,6.21
TOST,"Toast, Inc.",Technology,33.95,-19.45,19.59,0.23,7.44,100.0,23.1,38.92,14.65
AMGN,Amgen Inc.,Healthcare,437.23,-2.19,17.91,2.11,35.55,64.9,9.5,389.69,-10.87
FOX,Fox Corporation,Communication Services,58.42,-13.42,10.17,,25.21,3.1,28.1,58.42,0.0
UTHR,United Therapeutics Corporation,Healthcare,487.61,-19.98,16.24,2.22,42.23,13.4,-1.9,664.33,36.24
GOLD,"Gold.com, Inc.",Financial Services,46.13,-30.25,12.37,,0.44,0.6,99.2,64.4,39.61
JNJ,Johnson & Johnson,Healthcare,275.23,-2.08,22.36,4.38,29.19,-0.9,6.6,275.64,0.15
HD,"Home Depot, Inc. (The)",Consumer Cyclical,321.05,-22.64,20.02,1.79,12.86,4.6,5.7,377.5,17.58
ABBV,AbbVie Inc.,Healthcare,256.46,-4.12,15.75,0.36,40.03,290.4,10.2,276.59,7.85
O,Realty Income Corporation,Real Estate,61.25,-8.0,39.3,3.09,46.97,69.2,9.6,68.16,11.29
BLDR,"Builders FirstSource, Inc.",Industrials,65.79,-56.44,14.73,2.02,3.33,0.0,-8.8,80.71,22.68
TPL,Texas Pacific Land Corporation,Energy,362.42,-33.48,4.96,7.33,78.18,32.7,31.2,442.0,21.96
FICO,Fair Isaac Corporation,Technology,932.26,-53.34,17.57,0.65,53.79,41.2,25.7,1463.84,57.02
DPZ,Domino's Pizza Inc,Consumer Cyclical,341.08,-25.59,16.34,1.55,19.08,6.8,4.3,380.64,11.6
URI,"United Rentals, Inc.",Industrials,1009.86,-14.21,17.66,1.31,25.99,25.5,11.8,1272.43,26.0
BKNG,Booking Holdings Inc. Common St,Consumer Cyclical,193.29,-13.94,15.62,0.71,34.41,130.0,8.1,238.68,23.48
MNST,Monster Beverage Corporation,Consumer Defensive,43.82,-12.66,33.48,2.25,29.18,18.0,20.2,50.26,14.7
