Ticker,PE_Actual,Percentil_PE_24M,Z_Score_PE,FCF_Yield,Margen_Bruto,Delta_Margen_Bruto,ROIC,Cobertura_Interes,Probabilidad_Logit,Clasificacion,Ultima_Actualizacion
MCHP,379.77274,1.0,1.1354347050102855,0.025168783200899027,0.57735,0.0,0.02226,999.0,0.04687846246258042,🚫 EVITAR,2026-07-07
MRVL,77.671234,1.0,2.1370655380725987,0.011439753294436557,0.51502997,0.0,0.03808,999.0,0.01418058883179688,🚫 EVITAR,2026-07-07
BAM,29.833336,0.06890895914224479,-0.6686036138143937,0.03926222129049746,0.71048,0.0,0.12001,999.0,0.9198025583777589,💎 GANGA,2026-07-07
DHR,37.36557,0.014550644708512646,-0.7910942225371674,0.03341326887442502,0.58992,0.0,0.0419,999.0,0.9407667585638648,💎 GANGA,2026-07-07
BABA,15.128284,0.04241942437464241,-0.7936499244423495,-0.18776983707569533,0.39811,0.0,0.0212,999.0,0.9027685728572747,💎 GANGA,2026-07-07
EXPE,23.885057,1.0,1.5751109662940308,0.10727801324820394,0.90271,0.0,0.05825,999.0,0.03306752012850825,🚫 EVITAR,2026-07-07
ROK,48.51717,1.0,1.7627710755440704,0.018783195167015793,0.48921,0.0,0.09337,999.0,0.022362381894602195,🚫 EVITAR,2026-07-07
ZBRA,31.931076,0.1846918126174489,-0.5924831995313486,0.04444073527280779,0.48182,0.0,0.06361,999.0,0.8758212508778586,💎 GANGA,2026-07-07
CGNX,75.31764,1.0,1.834042790684799,0.01703087314860753,0.6802,0.0,0.062319998,999.0,0.02049654152293357,🚫 EVITAR,2026-07-07
PATH,19.675,0.28771189854974394,-0.49070855388650014,0.08363625787735307,0.8305,0.0,0.02365,999.0,0.82478820537948,Muy Barata,2026-07-07
PEGA,17.35135,0.0,-1.3667151224276755,0.09940664981323596,0.74961996,0.0,0.084580004,999.0,0.974391065833436,💎 GANGA,2026-07-07
MDT,22.490616,0.36266084686070954,-0.2683621082499713,0.043073630969750025,0.65309,0.0,0.04917,999.0,0.718871109289692,Muy Barata,2026-07-07
OMCL,101.36363,0.9942084461449137,0.8912083165841366,0.055495287903567184,0.43873,0.0,0.01207,999.0,0.0667207185411713,🚫 EVITAR,2026-07-07
