Ticker,Nombre,Razón
COST,Costco Wholesale Corporation,Margen Op. bajo (3.7%)
TSLA,"Tesla, Inc.",Margen Op. bajo (1.4%)
PYPL,"PayPal Holdings, Inc.",Ventas estancadas (4.8%)
SE,Sea Limited,Margen Op. bajo (8.3%)
IBM,International Business Machines,Ventas estancadas (1.1%)
QBTS,D-Wave Quantum Inc.,Cripto/Apalancado/Volátil
ONDS,Ondas Inc,Precio < $15 USD
MVST,"Microvast Holdings, Inc.",Cripto/Apalancado/Volátil
ASTS,"AST SpaceMobile, Inc.",Margen Op. bajo (-544.6%)
NBIS,Nebius Group N.V.,Margen Op. bajo (-0.2%)
RKLB,Rocket Lab Corporation,Margen Op. bajo (-24.6%)
FSLR,"First Solar, Inc.",Ventas estancadas (-3.7%)
EC,Ecopetrol S.A.,Margen Op. bajo (0.0%)
PL,Planet Labs PBC,Margen Op. bajo (-12.0%)
BA,Boeing Company (The),Margen Op. bajo (0.0%)
IRDM,Iridium Communications Inc,Ventas estancadas (3.8%)
RDW,Redwire Corporation,Precio < $15 USD
GFS,GlobalFoundries Inc.,Margen Op. bajo (9.7%)
COHR,Coherent Corp.,Margen Op. bajo (11.8%)
GENB,"Generate Biomedicines, Inc.",Margen Op. bajo (-1134.2%)
OUST,"Ouster, Inc.",Margen Op. bajo (-46.6%)
PRME,"Prime Medicine, Inc.",Precio < $15 USD
RVMD,"Revolution Medicines, Inc.",Margen Op. bajo (0.0%)
NXP,Nuveen Select Tax Free Income P,Precio < $15 USD
CBRS,Cerebras Systems Inc.,Margen Op. bajo (-265.0%)
OSS,"One Stop Systems, Inc.",Precio < $15 USD
PENG,"Penguin Solutions, Inc.",Margen Op. bajo (10.8%)
ZETA,Zeta Global Holdings Corp.,Margen Op. bajo (3.8%)
SNDK,Sandisk Corporation,PEG distorsionado
LUNR,"Intuitive Machines, Inc.",Precio < $15 USD
AEVA,"Aeva Technologies, Inc.",Margen Op. bajo (-563.2%)
SPIR,"Spire Global, Inc.",Precio < $15 USD
ARQQ,Arqit Quantum Inc.,Margen Op. bajo (-4931.6%)
LAZR,Tema Photonics & Optical ETF,Margen Op. bajo (0.0%)
GILT,Gilat Satellite Networks Ltd.,Precio < $15 USD
TWST,Twist Bioscience Corporation,Margen Op. bajo (-30.6%)
CLSK,"CleanSpark, Inc.",Cripto/Apalancado/Volátil
LEU,Centrus Energy Corp.,Margen Op. bajo (5.3%)
SMR,NuScale Power Corporation,Cripto/Apalancado/Volátil
ZTS,Zoetis Inc.,Ventas estancadas (-0.2%)
AAOI,"Applied Optoelectronics, Inc.",Margen Op. bajo (-12.9%)
OKLO,Oklo Inc.,Margen Op. bajo (-6048.8%)
VPG,"Vishay Precision Group, Inc.",Margen Op. bajo (0.5%)
SYM,Symbotic Inc.,Margen Op. bajo (4.6%)
INFQ,"Infleqtion, Inc.",Precio < $15 USD
USAR,"USA Rare Earth, Inc.",Margen Op. bajo (-795.6%)
ROKU,"Roku, Inc.",Upside consenso < 5% (4.3%)
CRSP,CRISPR Therapeutics AG,Margen Op. bajo (-1127.5%)
INSM,Insmed Incorporated,Margen Op. bajo (-23.8%)
APLD,Applied Digital Corporation,Margen Op. bajo (-48.2%)
VSAT,"ViaSat, Inc.",Margen Op. bajo (4.4%)
BETR,Better Home & Finance Holding C,Cripto/Apalancado/Volátil
TMC,TMC the metals company Inc.,Precio < $15 USD
LTBR,Lightbridge Corporation,Cripto/Apalancado/Volátil
GRAL,"GRAIL, Inc.",Margen Op. bajo (-332.0%)
OPEN,Opendoor Technologies Inc,Cripto/Apalancado/Volátil
CIFR,Cipher Digital Inc.,Cripto/Apalancado/Volátil
NVTS,Navitas Semiconductor Corporati,Precio < $15 USD
